Name,Code,Market
HLB바이오스텝,278650,KRX
씨티알모빌리티,308170,KRX
티움바이오,321550,KRX
씨에스베어링,297090,KRX
우양,103840,KRX
코리아에셋투자증권,190650,KRX
HD현대에너지솔루션,322000,KRX
에스제이그룹,306040,KRX
제테마,216080,KRX
한화시스템,272210,KRX
라파스,214260,KRX
아이티엠반도체,084850,KRX
일승,333430,KRX
자이에스앤디,317400,KRX
미디어젠,279600,KRX
LS티라유텍,322180,KRX
모코엠시스,333050,KRX
롯데리츠,330590,KRX
지누스,013890,KRX
밸로프,331520,KRX
캐리소프트,317530,KRX
한국미라클피플사,331660,KRX
케이엔제이,272110,KRX
엔바이오니아,317870,KRX
팜스빌,318010,KRX
두산퓨얼셀,336260,KRX
라온피플,300120,KRX
솔루스첨단소재,336370,KRX
콘텐트리중앙,036420,KRX
아톤,158430,KRX
녹십자웰빙,234690,KRX
누보,332290,KRX
포커스에이아이,331380,KRX
엔지브이아이,093510,KRX
올리패스,244460,KRX
라닉스,317120,KRX
한울반도체,320000,KRX
한독크린텍,256150,KRX
아퓨어스,149300,KRX
네오크레마,311390,KRX
마니커에프앤지,195500,KRX
솔트웨어,328380,KRX
나노실리칸첨단소재,286750,KRX
에스피시스템스,317830,KRX
레이,228670,KRX
그린플러스,186230,KRX
코윈테크,282880,KRX
덕산테코피아,317330,KRX
KBG,318000,KRX
엑스페릭스,317770,KRX
세경하이테크,148150,KRX
캐리,313760,KRX
대모,317850,KRX
에이스토리,241840,KRX
플리토,300080,KRX
헥토파이낸셜,234340,KRX
아이스크림에듀,289010,KRX
펨토바이오메드,327610,KRX
펌텍코리아,251970,KRX
에이에프더블류,312610,KRX
태성,323280,KRX
압타바이오,293780,KRX
형지글로벌,308100,KRX
마이크로디지탈,305090,KRX
코퍼스코리아,322780,KRX
프로이천,321260,KRX
포스코퓨처엠,003670,KRX
수젠텍,253840,KRX
컴퍼니케이,307930,KRX
피에스케이,319660,KRX
현대무벡스,319400,KRX
TS트릴리온,317240,KRX
이노벡스,279060,KRX
아모그린텍,125210,KRX
현대오토에버,307950,KRX
지노믹트리,228760,KRX
이지케어텍,099750,KRX
미래에셋벤처투자,100790,KRX
드림텍,192650,KRX
더블유게임즈,192080,KRX
에코프로비엠,247540,KRX
셀리드,299660,KRX
우리금융지주,316140,KRX
천보,278280,KRX
SCL사이언스,246960,KRX
노랑풍선,104620,KRX
웹케시,053580,KRX
엘에이티,311060,KRX
에어부산,298690,KRX
비피도,238200,KRX
유틸렉스,263050,KRX
디케이티,290550,KRX
아이엘,307180,KRX
애니플러스,310200,KRX
디와이씨,310870,KRX
위지윅스튜디오,299900,KRX
조이웍스앤코,309930,KRX
국전약품,307750,KRX
에이비엘바이오,298380,KRX
머큐리,100590,KRX
전진바이오팜,110020,KRX
뉴트리,270870,KRX
비투엔,307870,KRX
이노메트리,302430,KRX
DH오토리드,290120,KRX
에코캡,128540,KRX
원바이오젠,307280,KRX
윙입푸드,900340,KRX
남화산업,111710,KRX
엠아이텍,179290,KRX
티로보틱스,117730,KRX
네오펙트,290660,KRX
에이펙스인텍,207490,KRX
티앤알바이오팹,246710,KRX
아시아나IDT,267850,KRX
디알젬,263690,KRX
싸이토젠,217330,KRX
아주IB투자,027360,KRX
디케이앤디,263020,KRX
프로브잇,227100,KRX
노바렉스,194700,KRX
대보마그네틱,290670,KRX
노바텍,285490,KRX
엘앤씨바이오,290650,KRX
지아이에스,306620,KRX
로보티즈,108490,KRX
옵티팜,153710,KRX
에스퓨얼셀,288620,KRX
세아제강,306200,KRX
나우IB,293580,KRX
푸드나무,290720,KRX
하나제약,293480,KRX
크리스에프앤씨,110790,KRX
더블유에스아이,299170,KRX
한국비티비,219750,KRX
우진아이엔에스,010400,KRX
엔피,291230,KRX
피엔티엠에스,257370,KRX
엔솔바이오사이언스,140610,KRX
디지캡,197140,KRX
지니틱스,303030,KRX
액트로,290740,KRX
오파스넷,173130,KRX
브이엠,089970,KRX
바이오솔루션,086820,KRX
더콘텐츠온,302920,KRX
신한알파리츠,293940,KRX
디아이티,110990,KRX
에스에스알,275630,KRX
한일시멘트,300720,KRX
휴네시온,290270,KRX
티웨이항공,091810,KRX
롯데이노베이트,286940,KRX
한국유니온제약,080720,KRX
그리티,204020,KRX
알로이스,297570,KRX
올릭스,226950,KRX
HS효성첨단소재,298050,KRX
테크트랜스,258050,KRX
효성중공업,298040,KRX
효성티앤씨,298020,KRX
효성화학,298000,KRX
아이큐어,175250,KRX
SV인베스트먼트,289080,KRX
엘리비젼,276240,KRX
지앤이헬스케어,299480,KRX
이리츠코크렙,088260,KRX
EDGC,245620,KRX
HDC현대산업개발,294870,KRX
카이노스메드,284620,KRX
파워넷,037030,KRX
현대사료,016790,KRX
세종메디칼,258830,KRX
제노레이,122310,KRX
에스제이켐,217910,KRX
JTC,950170,KRX
네오셈,253590,KRX
케어랩스,263700,KRX
애경산업,018250,KRX
린드먼아시아,277070,KRX
오스테오닉,226400,KRX
엔지켐생명과학,183490,KRX
동구바이오제약,006620,KRX
아시아종묘,154030,KRX
알리코제약,260660,KRX
셀트리온,068270,KRX
카페24,042000,KRX
링크제니시스,219420,KRX
배럴,267790,KRX
SG,255220,KRX
씨앤지하이테크,264660,KRX
쿠쿠홈시스,284740,KRX
SK케미칼,285130,KRX
시스웍,269620,KRX
디바이스,187870,KRX
씨알푸드,236030,KRX
레이크머티리얼즈,281740,KRX
BGF리테일,282330,KRX
DYP,092780,KRX
진에어,272450,KRX
씨티케이,260930,KRX
메카로,241770,KRX
에스트래픽,234300,KRX
케이씨텍,281820,KRX
체리부로,066360,KRX
대원,007680,KRX
삼양패키징,272550,KRX
스튜디오드래곤,253450,KRX
코오롱티슈진,950160,KRX
EMB,278990,KRX
테이팩스,055490,KRX
롯데웰푸드,280360,KRX
탑선,180060,KRX
영화테크,265560,KRX
폴라리스세원,234100,KRX
상신전자,263810,KRX
야스,255440,KRX
인산가,277410,KRX
휴엠앤씨,263920,KRX
신흥에스이씨,243840,KRX
유티아이,179900,KRX
선익시스템,171090,KRX
엠플러스,259630,KRX
앱클론,174900,KRX
펄어비스,263750,KRX
킵스파마,256940,KRX
SK시그넷,260870,KRX
덕우전자,263600,KRX
앱튼,270520,KRX
케일럼,258610,KRX
알에스오토메이션,140670,KRX
컬러레이,900310,KRX
와이즈버즈,273060,KRX
모트렉스,118990,KRX
데이타솔루션,263800,KRX
지니언스,263860,KRX
디앤씨미디어,263720,KRX
루켄테크놀러지스,162120,KRX
힘스,238490,KRX
제일약품,271980,KRX
브이원텍,251630,KRX
아우딘퓨쳐스,227610,KRX
이녹스첨단소재,272290,KRX
카카오,035720,KRX
오리온,271560,KRX
하림지주,003380,KRX
덴티스,261200,KRX
메디안디노스틱,233250,KRX
나인테크,267320,KRX
